cloud_account_id,cloud_device_id,is_indoor,latitude,longitude,mcpm1x0,ncpm1x0,rh,temperature,timestamp,tpsize
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,36,83,17.2,2022-12-04T00:15:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,39,84,16.8,2022-12-04T00:30:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,35,85,16.5,2022-12-04T00:45:57Z,0.48
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,38,85,16.2,2022-12-04T01:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,38,85,16.0,2022-12-04T01:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,39,86,15.8,2022-12-04T01:30:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,41,86,15.6,2022-12-04T01:45:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,40,86,15.5,2022-12-04T02:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,42,86,15.4,2022-12-04T02:15:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,45,86,15.1,2022-12-04T02:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,46,86,14.8,2022-12-04T02:45:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,50,86,14.7,2022-12-04T03:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,53,86,14.4,2022-12-04T03:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,53,88,14.3,2022-12-04T03:30:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,55,88,14.6,2022-12-04T03:45:57Z,0.54
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,55,87,14.6,2022-12-04T04:00:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,52,86,14.5,2022-12-04T04:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,50,85,14.3,2022-12-04T04:30:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,42,82,14.1,2022-12-04T04:45:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,34,79,13.7,2022-12-04T05:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,28,74,13.3,2022-12-04T05:15:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,26,71,13.2,2022-12-04T05:30:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,24,69,13.0,2022-12-04T05:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,23,66,12.9,2022-12-04T06:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,21,65,12.8,2022-12-04T06:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,18,62,12.6,2022-12-04T06:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,16,59,12.4,2022-12-04T06:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,15,57,12.2,2022-12-04T07:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,15,56,12.1,2022-12-04T07:15:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,14,55,11.9,2022-12-04T07:30:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,12,55,11.6,2022-12-04T07:45:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,11,54,11.3,2022-12-04T08:00:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,10,53,11.0,2022-12-04T08:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,10,53,10.6,2022-12-04T08:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,10,53,10.4,2022-12-04T08:45:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,10,54,10.0,2022-12-04T09:00:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,10,55,9.7,2022-12-04T09:15:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,1,9,54,9.4,2022-12-04T09:30:57Z,0.51
